,CPT_CODE_OR_OTHER,Procedure Description,Freq,Procedure_Group_Cat,Pro_Cat
1,10005,Fine Needle Aspiration with Imaging Guidance (#54),1,New Procedure,
2,10022,FNA W/IMAGE,1,New Procedure,
3,10060,Drainage of Skin Abscess,1,New Procedure,Drainage of Skin Abscess
4,10060,"INCISION AND DRAINAGE OF ABSCESS (EG, CARBUNCLE, SUPPURATIVE HIDRADENITIS, CUTANEOUS OR SUBCUTANEOUS ABSCESS, CYST, FURUNCLE, OR PARONYCHIA); S",1,New Procedure,
5,11042,"DEBRIDEMENT; SKIN, AND SUBCUTANEOUS TISSUE",1,New Procedure,
6,11044,DEB BONE 20 SQ CM/<,1,New Procedure,
7,11045,DEB SUBQ TISSUE ADD-ON,1,New Procedure,
8,11046,DEB MUSC/FASCIA ADD-ON,1,New Procedure,
9,11047,DEB BONE ADD-ON,1,New Procedure,
10,12001,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 2.5 CM OR",1,New Procedure,SUPERFICIAL WOUNDS REPAIR
11,12002,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF SCALP, NECK, AXILLAE, EXTERNAL GENITALIA, TRUNK AND/OR EXTREMITIES (INCLUDING HANDS AND FEET); 2.6 CM TO",1,New Procedure,SUPERFICIAL WOUNDS REPAIR
12,12011,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.5 CM OR LESS",1,New Procedure,SUPERFICIAL WOUNDS REPAIR
13,12013,"SIMPLE REPAIR OF SUPERFICIAL WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.6 CM TO 5.0 CM",1,New Procedure,SUPERFICIAL WOUNDS REPAIR
14,15271,SKIN SUB GRAFT TRNK/ARM/LEG,2,New Procedure,SKIN SUB GRAFT
15,15275,SKIN SUB GRAFT FACE/NK/HF/G,1,New Procedure,SKIN SUB GRAFT
17,15823,Blepharoplasty upper eyelid with excessive skin weighting downlid,1,New Procedure,Blepharoplasty 
18,17250,"CHEMICAL CAUTERIZATION OF GRANULATION TISSUE (PROUD FLESH, SINUS OR FISTULA)",1,New Procedure,
19,19083,ALT code removed,1,New Procedure,
20,19083,BX Breast 1st Lesion US Imag,1,New Procedure,
21,19083,"Breast Biopsy w/Marker Plcmt,1st Lesion w/Ultrasound Guidance (#65)",1,New Procedure,Ultrasound
22,19120,Excision Procedures on the Breast,2,New Procedure,EXCISION/SURGERY
23,19120,"Excision, Breast Lesion",85,New Procedure,EXCISION/SURGERY
24,19120,"Excision, Breast Lesion, without preoperative radiological marker",183,New Procedure,EXCISION/SURGERY
25,19125,Excision Procedures on the Breast,2,New Procedure,EXCISION/SURGERY
26,19301,MASTECTOMY PARTIAL,1,New Procedure,MASTECTOMY
27,19301,"Mastectomy, partial",1,New Procedure,MASTECTOMY
28,19301,PARTIAL MASTECTOMY,1,New Procedure,MASTECTOMY
29,19303,MAST SIMPLE COMPLETE,1,New Procedure,MASTECTOMY
30,19303,MASTECTOMY SIMPLE COMPLETE,1,New Procedure,MASTECTOMY
31,19318,REDUCTION MAMMAPLASTY,1,New Procedure,MASTECTOMY
32,19340,"IMMEDIATE INSERTION OF BREAST PROSTHESIS FOLLOWING MASTOPEXY, MASTECTOMY OR IN RECONSTRUCTION",1,New Procedure,MASTECTOMY
33,19342,"DELAYED INSERTION OF BREAST PROSTHESIS FOLLOWING MASTOPEXY, MASTECTOMY OR IN RECONSTRUCTION",1,New Procedure,MASTECTOMY
34,19380,REVISION OF RECONSTRUCTED BREAST,1,New Procedure,
35,20610,DRAIN/INJ JOINT/BURSA W/O US,1,New Procedure,Drainage of Joint
36,20680,Hardware removal,1,New Procedure,REMOVAL OF SUPPORT IMPLANT
37,20680,"REMOVAL OF IMPLANT; DEEP (EG, BURIED WIRE, PIN, SCREW, METAL BAND, NAIL, ROD OR PLATE)",1,New Procedure,REMOVAL OF SUPPORT IMPLANT
38,20680,REMOVAL OF SUPPORT IMPLANT,1,New Procedure,REMOVAL OF SUPPORT IMPLANT
39,20680,Removal Deep Implant,1,New Procedure,REMOVAL OF SUPPORT IMPLANT
40,20680,"Removal of implant; deep (eg, buried wire, pin, screw, metal band, nail, rod or plate)",2,New Procedure,REMOVAL OF SUPPORT IMPLANT
41,22523,"Percutaneous vertebral augmentation, including cavity creation",1,New Procedure,
42,22524,"Percutaneous vertebral augmentation, including cavity creation vertebral body",1,New Procedure,
43,23350,Injection for Shoulder X-Ray,1,New Procedure,X-ray
44,23412,Repair rotator cuff open chronic,1,New Procedure,
45,23430,Tenodesis of long tendon of biceps,1,New Procedure,
46,23650,"CLOSED TREATMENT OF SHOULDER DISLOCATION, WITH MANIPULATION; WITHOUT ANESTHESIA",1,New Procedure,
47,23655,TREAT SHOULDER DISLOCATION,1,New Procedure,
48,24620,CL TX MONTEGGIA ELB FX W MANIP,1,New Procedure,
49,25605,"CLOSED TREATMENT OF DISTAL RADIAL FRACTURE (EG, COLLES OR SMITH TYPE) OR EPIPHYSEAL SEPARATION, WITH OR WITHOUT FRACTURE OF ULNAR STYLOID; WITH",1,New Procedure,
50,27096,INJECT SACROILIAC JOINT,1,New Procedure,
51,27096,"Injection procedure for sacroiliac joint, anesthetic/steroid, with image guidance (fluoroscopy or CT) including arthrography when performed",1,New Procedure,
52,27096,Injection sacroiliac joint,1,New Procedure,
53,27446,"ARTHROPLASTY, KNEE, CONDYLE AND PLATEAU; MEDIAL OR LATERAL COMPARTMENT",1,New Procedure,Arthroplasty
54,27447,"ARTHROPLASTY, KNEE, CONDYLE AND PLATEAU; MEDIAL AND LATERAL COMPARTMENTS WITH OR WITHOUT PATELLA RESURFACING",1,New Procedure,Arthroplasty
55,27447,"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)",1,New Procedure,Arthroplasty
56,28285,REPAIR OF HAMMERTOE,1,New Procedure,
58,28296,"HALLUX VALGUS (BUNION) CORRECTION, WITH OR WITHOUT SESAMOIDECTOMY; WITH METATARSAL OSTEOTOMY (EG, MITCHELL, CHEVRON, OR CONCENTRIC TYPE PROCEDU",1,New Procedure,
59,28400,Clsd Tx Calcaneal Fx W/O Manip,1,New Procedure,
60,28485,"OPEN TREATMENT OF METATARSAL FRACTURE, WITH OR WITHOUT INTERNAL OR EXTERNAL FIXATION, EACH",1,New Procedure,
61,29105,APPLICATION OF LONG ARM SPLINT (SHOULDER TO HAND),1,New Procedure,Splints
62,29125,APPLICATION OF SHORT ARM SPLINT (FOREARM TO HAND); STATIC,1,New Procedure,Splints
63,29125,Apply Forearm Splint,1,New Procedure,Splints
64,29515,APPLICATION OF SHORT LEG SPLINT (CALF TO FOOT),1,New Procedure,Splints
65,29581,APPLY MULTLAY COMPRS LWR LEG,1,New Procedure,Splints
66,29705,Remove full arm/leg cast,1,New Procedure,Splints
67,29826,"Arthroscopy, Shoulder, with partial acromioplasty",267,New Procedure,Arthroscopy
68,29827,Arthroscopy knee with synovectomy,1,New Procedure,Arthroscopy
69,29827,"Arthroscopy, shoulder, surgical; with rotator cuff repair",1,New Procedure,Arthroscopy
70,29876,"Arthroscopy, knee, surgical; synovectomy, major, 2 or more compartments (eg, medial or lateral)",1,New Procedure,Arthroscopy
71,29880,"ARTHROSCOPY, KNEE, SURGICAL; WITH MENISCECTOMY (MEDIAL AND LATERAL, INCLUDING ANY MENISCAL SHAVING)",1,New Procedure,Arthroscopy
72,29880,"Arthroscopy, knee, surgical; with meniscectomy (medial AND lateral, including any meniscal shaving)",1,New Procedure,Arthroscopy
73,29880,KNEE ARTHROSCOPY/SURGERY,1,New Procedure,Arthroscopy
74,29881,Arthr Knee Sur Menis M Or L,1,New Procedure,Arthroscopy
75,29881,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",270,New Procedure,Arthroscopy
76,29888,Arthroscopically aided anterior cruciate ligament repair/augmentation or reconstruction,1,New Procedure,Arthroscopy
77,30420,RHINOPLASTY,1,New Procedure,
78,30520,REPAIR OF NASAL SEPTUM,1,New Procedure,
79,30520,"Septoplasty or submucous resection, with or without cartilage, replacement with graft",1,New Procedure,
80,30802,"Cauter Turbinate Mucosa, Intramural",1,New Procedure,
81,30901,"CONTROL NASAL HEMORRHAGE, ANTERIOR, SIMPLE (LIMITED CAUTERY AND/OR PACKING) ANY METHOD",1,New Procedure,
82,31500,INTUBATION ET,1,New Procedure,INTUBATION
83,31500,Insert Emergency Airway,1,New Procedure,INTUBATION
84,31526,"Laryngoscopy , Direct, DX, OP Microscop",1,New Procedure,Laryngoscopy
85,31575,LARYNGOSCOPY FLEX; DIAGNOSTIC,1,New Procedure,Laryngoscopy
86,31624,BRONCHOSCOPY; WITH BRONCHIAL ALVEOLAR LAVAGE,1,New Procedure,
87,31720,SUCTION NASOT,1,New Procedure,
88,32405,"CT Scan, Chest/Lung biopsy",1,New Procedure,CT Scan
89,32555,ASPIRATE PLEURA W/ IMAGING,1,New Procedure,
90,33208,Insert new or replace of permanent pacemaker with transvenous electrode(s);,1,New Procedure,
91,33249,"Insert or replaceof permpacing cardi-defibril system with trans lead(s), single or dual",1,New Procedure,
92,33262,Rmvl & Rrplc Pulse Gen 1 Lead,1,New Procedure,
93,33282,IMPLANT PAT ACT HT REC,1,New Procedure,
94,35476,REPAIR VENOUS BLOCKAGE,1,New Procedure,
95,36000,NONSELECTIVE CATH PLACEMENT IN VEIN,1,New Procedure,
96,36415,Blood collection by venipuncture,1,New Procedure,Venipuncture
97,36415,"COLLECTION VENOUS BLOOD,VENIPUNCTURE",4,New Procedure,Venipuncture
98,36415,VENIPUNCT      *,2,New Procedure,Venipuncture
99,36415,VENIPUNCTURE,1,New Procedure,Venipuncture
100,36415,VENIPUNCTURE PHLEBOTOMY,1,New Procedure,Venipuncture
101,36415,VENIPUNCTURE PHLEBOTOMY       /*/OUT-PT/ROUTINE,2,New Procedure,Venipuncture
102,36415,VENIPUNCTURE ROUTINE,1,New Procedure,Venipuncture
103,36415,VENIPUNCTURE;OUT-PT,1,New Procedure,Venipuncture
104,36415,Venipuncture,1,New Procedure,Venipuncture
105,36430,BLOOD TRANSFU,1,New Procedure,BLOOD TRANSFUSION SERVICE
106,36430,BLOOD TRANSFUSION SERVICE,1,New Procedure,BLOOD TRANSFUSION SERVICE
107,36430,Transfusion Blood/Blood Products (#342),1,New Procedure,BLOOD TRANSFUSION SERVICE
108,36430,"Transfusion, blood or blood components",1,New Procedure,BLOOD TRANSFUSION SERVICE
109,36514,APHERESIS PLA,1,New Procedure,
110,36558,INSERT TUNNELED CV CATH,3,New Procedure,CATHETER Insert_Remove
111,36561,INSERT TUNNELED CV CATH,3,New Procedure,CATHETER Insert_Remove
112,36561,Insertion of Central Venous Access Device,1,New Procedure,CATHETER Insert_Remove
113,36561,Insertion of Tunneled Centrally Inserted CVAD with Port (#71),1,New Procedure,CATHETER Insert_Remove
114,36569,INSERT PICC A,1,New Procedure,CATHETER Insert_Remove
115,36569,INSERT PICC CATH,1,New Procedure,CATHETER Insert_Remove
116,36589,REMOVAL TUNNELED CV CATH,1,New Procedure,CATHETER Insert_Remove
117,36589,Removal Tunneled CV Cath,1,New Procedure,CATHETER Insert_Remove
118,36590,Removal of Central Venous Access Device,1,New Procedure,CATHETER Insert_Remove
119,36600,ARTERIAL PUNC,1,New Procedure,
120,36832,"AV FISTULA REVISION, OPEN",1,New Procedure,
121,36902,Introduction Catheter in Dialysis Circuit (#57),1,New Procedure,
122,37197,Remove Intravascular Foreign Body,1,New Procedure,
123,37237,OPEN/PERQ PLACE STENT EA ADD,1,New Procedure,
124,37242,Embolization (NON-CNS) Body Arterial,1,New Procedure,
125,37765,"Stab phlebectomy of varicose viens, 1 extremity 10-20 stab inc",1,New Procedure,
126,38220,Bone Marrow ; Aspiration only,1,New Procedure,Bone Marrow 
127,38221,BONE MARROW BIOPSY,1,New Procedure,Bone Marrow 
128,38222,DX BONE MARROW BX & ASPIR,1,New Procedure,Bone Marrow 
129,38222,Diagnostic Bone Marrow Biopsy(ies) and Aspiration(s) (#58),1,New Procedure,Bone Marrow 
130,41899,DENTAL SURGERY PROCEDURE,1,New Procedure,
131,42820,Tonsillectomy and adenoidectomy; younger than age 12,1,New Procedure,Tonsillectomy or Adenoidectomy
132,42820,"Tonsillectomy with Adenoidectomy, less than 12 years old",263,New Procedure,Tonsillectomy or Adenoidectomy
133,42826,REMOVAL OF TONSILS,1,New Procedure,Tonsillectomy or Adenoidectomy
134,42826,"Tonsillectomy with Adenoidectomy, less than 12 years old",263,New Procedure,Tonsillectomy or Adenoidectomy
135,42830,Adenoidectomy without Tonsillectomy,1,New Procedure,Adenoidectomy
136,43235,"Endoscopy, Upper GI, diagnostic",274,New Procedure,Endoscopy
137,43235,"UPPR GI ENDOSCOPY, DIAGNOSIS",1,New Procedure,Endoscopy
138,43239,EGD Biopsy single/multiple,1,New Procedure,Endoscopy
139,43239,EGD with biopsy,1,New Procedure,Endoscopy
140,43239,"Endoscopy, Upper GI, with biopsy",281,New Procedure,Endoscopy
141,43246,EGD PLACE GASTROSTOMY TUBE,1,New Procedure,Endoscopy
142,43246,"Esophagogastroduodeno, flexible, trans;direct place of percut gastomy tube",1,New Procedure,Endoscopy
143,43246,Place Gastrostomy Tube,1,New Procedure,Endoscopy
144,43247,EGD REMOVE FOREIGN BODY,1,New Procedure,Endoscopy
145,43248,EGD with Guide Wire Dilation Esophagus,1,New Procedure,Endoscopy
146,43248,Endeocopy upper GI with guidewire,1,New Procedure,Endoscopy
147,43249,"Endoscopy, upper GI, balloon dilation of esophagus",1,New Procedure,Endoscopy
148,43259,EGD US EXAM DUODENUM/JEJUNUM,1,New Procedure,Endoscopy
149,44392,Colonoscopy and Polypectomy,1,New Procedure,Colonoscopy
150,44970,Appendectomy,1,New Procedure,Appendectomy
151,44970,"LAPAROSCOPY, SURGICAL, APPENDECTOMY",1,New Procedure,Laparoscopy
152,44970,Laparoscopy Appendectomy,1,New Procedure,Laparoscopy
153,45005,DRAINAGE OF RECTAL ABSCESS,1,New Procedure,Drainage of Skin Abscess
154,45378,"Colonoscopy, Diagnostic",1,New Procedure,Colonoscopy
155,45378,"Colonoscopy, diagnostic",281,New Procedure,Colonoscopy
156,45380,Colonoscopy W/Biopsy Single/Multiple,1,New Procedure,Colonoscopy
157,45380,"Colonoscopy, with Biopsy",1,New Procedure,Colonoscopy
158,45380,"Colonoscopy, with biopsy",280,New Procedure,Colonoscopy
159,45383,LESION REMOVAL COLONOSCOPY,1,New Procedure,Colonoscopy
160,45384,Colonoscopy w/Lesion removal,1,New Procedure,Colonoscopy
161,45384,"Colonoscopy, flexible; with removal of tumor(s),polyp(s)",1,New Procedure,Colonoscopy
162,45385,"Colonoscopy, with lesion removal, by snare technique",276,New Procedure,Colonoscopy
163,45390,COLONOSCOPY W/RESECTION,1,New Procedure,Colonoscopy
164,46040,INCISION OF RECTAL ABSCESS,1,New Procedure,
165,47000,"BIOPSY OF LIVER, NEEDLE; PERCUTANEOUS",1,New Procedure,BIOPSY
166,47000,NEEDLE BIOPSY OF LIVER,1,New Procedure,BIOPSY
167,47562,LAPAROSCOPIC CHOLECYSTECTOMY,1,New Procedure,Laparoscopy
168,47562,Laparoscopic Cholecystectomy,270,New Procedure,Laparoscopy
169,47562,"Laparoscopy, cholecystectomy",1,New Procedure,Laparoscopy
170,47563,Laparoscopic Cholecystectomy,270,New Procedure,Laparoscopy
171,49083,ABD PARACENTESIS W/IMAGING,2,New Procedure,Abdominal Paracentesis with Imaging
172,49083,Abdominal Paracentesis w/Imaging,,,Abdominal Paracentesis with Imaging
173,49083,Abdominal Paracentesis with imaging guidance (#121),1,New Procedure,Abdominal Paracentesis with Imaging
174,49083,Abdominal paracentesis (diagnostic or therapeutic); with imaging guidance,1,New Procedure,Abdominal Paracentesis with Imaging
175,49083,Paracentesis Abdominal with imaging guidance,2,New Procedure,Abdominal Paracentesis with Imaging
176,49424,Contrast Injection for Assessment of Cyst/Abscess via Catheter (#53),1,New Procedure,
177,49450,Replacement of Gastrostomy or Cecostomy Tube (#41),1,New Procedure,Gastrostomy Tube
178,49505,"Hernia Repair, Inguinal, 5 years and older",272,New Procedure,Hernia Repair
179,49507,PRP I/HERN INIT BLOCK >5 YR,2,New Procedure,
180,49585,Repair Umbilical Hernia,1,New Procedure,
181,49650,Hernia Laparoscopic Procedures,1,New Procedure,
182,49650,Lap Ing Hernia repait Init,1,New Procedure,Hernia Repair
183,50200,BIOPSY OF KIDNEY,1,New Procedure,BIOPSY
184,50200,"Biopsy of Kidney, Percutaneous",1,New Procedure,BIOPSY
185,50435,Exchange Nephrostomy Cath,1,New Procedure,
186,50590,FRAGMENTING OF KIDNEY STONE,1,New Procedure,KIDNEY STONE
187,50590,"LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE",1,New Procedure,Lithotripsy
188,50590,"Lithotripsy, extracorporeal shock wave",1,New Procedure,Lithotripsy
189,51701,INSERT BLADDER CATHETER,1,New Procedure,
190,51702,"INSERTION OF TEMPORARY INDWELLING BLADDER CATHETER; SIMPLE (EG, FOLEY)",1,New Procedure,
191,51702,Insertion of Temporary Indwelling Bladder Catheter; Simple (#121),1,New Procedure,
192,52000,CYSTOURETHROSCOPY,1,New Procedure,CYSTOURETHROSCOPY
193,52000,Scope of Bladder and Urethra,2,New Procedure,
194,52234,"CYSTOURETHROSCOPY, WITH FULGURATION (INCLUDING CRYOSURGERY OR LASER SURGERY) AND/OR RESECTION OF; SMALL BLADDER TUMOR(S) (0.5 TO 2.0 CM)",1,New Procedure,CYSTOURETHROSCOPY
195,52235,"CYSTOURETHROSCOPY, WITH FULGURATION (INCLUDING CRYOSURGERY OR LASER SURGERY) AND/OR RESECTION OF; MEDIUM BLADDER TUMOR(S) (2.0 TO 5.0 CM)",1,New Procedure,CYSTOURETHROSCOPY
196,52332,"CYSTOURETHROSCOPY, WITH INSERTION OF INDWELLING URETERAL STENT (EG, GIBBONS OR DOUBLE-J TYPE)",1,New Procedure,CYSTOURETHROSCOPY
197,52356,CYSTO/URETERO W/LITHOTRIPSY,1,New Procedure,
198,52356,"Cystourethroscopy, with ureteroscopy and/or pyeloscopy; with lithotripsy including insertion of indwelling ureteral stent (eg, Gibbons or double-J type)",1,New Procedure,CYSTOURETHROSCOPY
199,52648,"CONTACT LASER VAPORIZATION W W/O TRANSURETHRAL RESECTION PROSTATE, INC CONTROL POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURE",1,New Procedure,
200,52648,LASER SURGERY OF PROSTATE,1,New Procedure,
201,54161,CIRCUMCISION,1,New Procedure,
202,54405,INSERT MULTI-COMP PENIS PROS,1,New Procedure,
203,54640,"Orchiopexy, Ingunial Approach",1,New Procedure,
204,57288,REPAIR BLADDER DEFECT,1,New Procedure,
205,57520,Conization of Cervix,1,New Procedure,
206,58120,DILATION AND CURETTAGE,1,New Procedure,
208,58301,REMOVE INTRAUTERINE DEVICE,1,New Procedure,
209,58552,"LAPAROSCOPY SURGICAL, WITH VAGINAL HYSTERECTOMY, FOR UTERUS 250 GRAMS OR LESS; WITH REMOVAL OF TUBE(S) AND/OR OVARY(S)",1,New Procedure,Laparoscopy
210,58552,"Laparoscopy, surgical, with vaginal hysterectomy",1,New Procedure,Laparoscopy
211,58558,"HYSTEROSCOPY, BIOPSY",2,New Procedure,Hysteroscopy
212,58558,"HYSTEROSCOPY, SURGICAL; WITH SAMPLING (BIOPSY) OF ENDOMETRIUM AND/OR POLYPECTOMY, WITH OR WITHOUT D & C",1,New Procedure,Hysteroscopy
213,58558,"Hysteroscopy, surgical",1,New Procedure,Hysteroscopy
214,58558,"Hysteroscopy, surgical, sampling,bx, endometrium,polypectomy",1,New Procedure,Hysteroscopy
215,58561,"HYSTEROSCOPY, SURGICAL; WITH REMOVAL OF LEIOMYOMATA",1,New Procedure,Hysteroscopy
216,58563,"HYSTEROSCOPY, SURGICAL; WITH ENDOMETRIAL ABLATION (EG, ENDOMETRIAL RESECTION, ELECTROSURGICAL ABLATION, THERMOABLATION)",1,New Procedure,Hysteroscopy
217,58563,HYSTERSCOPY ABLATION,1,New Procedure,Hysteroscopy
218,58563,Laparoscopic/Hysteroscopic Procedures on Corpus Uteri,1,New Procedure,Laparoscopy
219,58565,"HYSTEROSCOPY, STERILIZATION",1,New Procedure,Hysteroscopy
220,58600,DIVISION OF FALLOPIAN TUBE,1,New Procedure,
221,58661,"LAPAROSCOPY, REMOVE ADNEXA",1,New Procedure,Laparoscopy
222,58661,"LAPAROSCOPY, SURGICAL; WITH REMOVAL OF ADNEXAL STRUCTURES (PARTIAL OR TOTAL OOPHORECTOMY AND/OR SALPINGECTOMY)",1,New Procedure,Laparoscopy
223,58661,Laparoscopy remove adnexa,1,New Procedure,Laparoscopy
224,58662,"LAPAROSCOPY, SURGICAL; WITH FULGURATION OR EXCISION OF LESIONS OF THE OVARY, PELVIC VISCERA, OR PERITONEAL SURFACE BY ANY METHOD",1,New Procedure,Laparoscopy
225,58670,"LAPAROSCOPY, TUBAL CAUTERY",2,New Procedure,Laparoscopy
226,59000,Amniocentesis Diag,1,New Procedure,
227,59025,FETAL NON-STRESS TEST,1,New Procedure,
228,59025,Fetal Non-Stress Test,1,New Procedure,
229,59025,Fetal Non-stress test,1,New Procedure,
230,59320,REVISION OF CERVIX,1,New Procedure,
231,59514,Cesarean delivery only;,1,New Procedure,Cesarean delivery only
232,59812,TREATMENT OF MISCARRIAGE,1,New Procedure,
233,59820,CARE OF MISCARRIAGE,1,New Procedure,MISCARRIAGE
234,59820,"Treatment of missed abortion, completed surgically, first trimester",1,New Procedure,Abortion
235,59820,"Treatment of missed abortion, completed surgically; first trimester",1,New Procedure,Abortion
236,59841,ABORTION,1,New Procedure,Abortion
237,60100,BIOPYS OF THYROID,1,New Procedure,BIOPSY
238,60200,"Excision of cyst or adenoma of thyroid, or transection of isthmus",1,New Procedure,EXCISION/SURGERY
239,60500,EXPLORE PARATHYROID GLANDS,1,New Procedure,
240,62270,"SPINAL PUNCTURE, LUMBAR, DIAGNOSTIC",1,New Procedure,
241,62311,"Injection, Diagnostic or Therapeutic substance, epidural",17,New Procedure,Epidural
242,62311,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",218,New Procedure,Epidural
243,62321,"Injection(s), of diagnostic or therapeutic substance(s) (eg, anesthetic, antispasmodic, opioid, steroid, other solution), not including neurolytic substances, including needle or catheter placement, interlaminar epidural or subarachnoid, cervical or thoracic; with imaging guidance (ie, fluoroscopy or CT)",1,New Procedure,
244,62321,NJX INTERLAMINAR CRV/THRC,1,New Procedure,
245,62321,Steroid injection cervical/thoracic,1,New Procedure,
246,62322,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",218,New Procedure,Epidural
247,62322,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar w/o imaging guidance",23,New Procedure,Epidural
249,62323,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",218,New Procedure,Epidural
250,62323,NJX INTERLAMINAR LMBR/SAC,3,New Procedure,
251,62323,Steroid injection lumbar,1,New Procedure,
252,63030,"LAMINOTOMY (HEMILAMINECTOMY), W DECOMPRESSION OF NERVE ROOT(S), INCL PARTIAL FACETECTOMY, FORAMINOTOMY &/ EXCISION OF HERNIATED INTERVERT DISK;",1,New Procedure,
253,64483,INJ NRV BLK TRANSFORAMINAL L/S LVL1,1,New Procedure,
254,64483,"Injection, Anesthetic or Steroid, transforaminal epidural",17,New Procedure,Epidural
255,64483,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",221,New Procedure,Epidural
256,64483,"Injection, Anesthetic or Steroid, transforaminal epidural, sacral",29,New Procedure,Epidural
257,64490,INJ PARAVERT F JNT C/T 1 LEV,1,New Procedure,
258,64490,Injection facet cervical or thoracic single level,1,New Procedure,
259,64490,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or",1,New Procedure,
260,64493,INJ PARAVERT F JNT L/S 1 LEV,1,New Procedure,
261,64493,Injection facet joint with fluoroscopy single level,1,New Procedure,
262,64493,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; single level",1,New Procedure,
263,64635,DESTROY LUMB/SAC FACET JNT,1,New Procedure,
